"","Herero","Zulu","Tswana","Shona","Ndonga","Swati","Tsonga","Venda","Kongo","Tumbuka","Kikuyu","Luganda","Kinyarwanda","Lingala","Kirundi","Igbo","Bambara","Tigrinya","Afar","Amharic","Kanuri","Wolof","Egyptian Arabic","Kabyle","Latin","Neapolitan","Spanish","English","French","Dutch","Icelandic","Irish","Serbian","Russian","Bashkir","Chuvash","Erzya","Estonian","Gagauz","Latvian","Vepsian","Czech","Meadow Mari","Bulgarian","Belarusian","Hungarian","Lithuanian","Kalmyk","Armenian","Kurdish (Sorani)","Abkhazian","Kabardian","Turkish","Ossetian","Hebrew","Sindhi","Eastern Punjabi","Kazakh","Sakha","Korean","Chinese","Nuosu","Japanese","Tibetan","Bengali","Kashmiri","Gujarati","Telugu","Tamil","Malayalam","Sinhalese","Burmese","Vietnamese","Khmer","Malay","Thai","Cebuano","Banyumasan","Minangkabau","Tetum","Nauruan","Chamorro","Samoan","Tongan","Maori","Hawaiian","Tahitian","Inupiak","Cheyenne","Choctaw","Muscogee","Cherokee","Navajo","Haitian","Aymara","Guarani"
"Tetum",0.727272727272728,0.363636363636364,0.363636363636364,0.545454545454546,0.363636363636364,0.545454545454546,0.363636363636364,0.636363636363635,0.636363636363635,0.272727272727273,0.272727272727273,0.636363636363635,0.454545454545454,0.636363636363635,0.545454545454546,0.272727272727273,0.636363636363635,0.363636363636364,0.727272727272728,0.545454545454546,0.636363636363635,0.272727272727273,0.545454545454546,0.363636363636364,0.636363636363635,0.636363636363635,0.363636363636364,0.545454545454546,0.545454545454546,0.545454545454546,0.636363636363635,0.727272727272728,0.545454545454546,0.363636363636364,0.636363636363635,0.636363636363635,0.545454545454546,0.545454545454546,0.363636363636364,0.545454545454546,0.727272727272728,0.363636363636364,0.545454545454546,0.545454545454546,0.636363636363635,0.545454545454546,0.636363636363635,0.636363636363635,0.363636363636364,0.636363636363635,0.636363636363635,0.636363636363635,0.545454545454546,0.636363636363635,0.636363636363635,0.545454545454546,0.545454545454546,0.685454545454545,0.727272727272728,0.545454545454546,0.545454545454546,0.454545454545454,0.545454545454546,0.545454545454546,0.636363636363635,0.727272727272728,0.545454545454546,0.363636363636364,0.636363636363635,0.545454545454546,0.545454545454546,0.454545454545454,0.545454545454546,0.636363636363635,0.545454545454546,0.545454545454546,0.454545454545454,0.454545454545454,0.454545454545454,0,0.545454545454546,0.272727272727273,0.545454545454546,0.545454545454546,0.636363636363635,0.727272727272728,0.545454545454546,0.818181818181818,0.636363636363635,0.545454545454546,0.545454545454546,0.545454545454546,0.545454545454546,0.363636363636364,0.454545454545454,0.545454545454546
"Nauruan",0.909090909090908,0.727272727272728,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.636363636363635,0.636363636363635,0.727272727272728,0.727272727272728,0.727272727272728,0.636363636363635,0.545454545454546,0.545454545454546,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.727272727272728,0.545454545454546,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.909090909090908,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,1,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090908,0.909090909090908,0.727272727272728,0.909090909090908,0.909090909090908,0.818181818181818,0.818181818181818,0.778181818181818,0.909090909090908,0.636363636363635,0.727272727272728,0.727272727272728,0.818181818181818,0.727272727272728,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.727272727272728,0.727272727272728,0.727272727272728,0.636363636363635,0.727272727272728,0.636363636363635,0.727272727272728,0.727272727272728,0.727272727272728,0.727272727272728,0.545454545454546,0,0.636363636363635,0.363636363636364,0.363636363636364,0.545454545454546,0.545454545454546,0.272727272727273,0.636363636363635,0.727272727272728,0.545454545454546,0.545454545454546,0.545454545454546,0.818181818181818,0.636363636363635,0.636363636363635,0.636363636363635
"Chamorro",0.727272727272728,0.363636363636364,0.363636363636364,0.272727272727273,0.272727272727273,0.454545454545454,0.272727272727273,0.545454545454546,0.636363636363635,0.454545454545454,0.363636363636364,0.454545454545454,0.545454545454546,0.727272727272728,0.454545454545454,0.454545454545454,0.363636363636364,0.454545454545454,0.545454545454546,0.454545454545454,0.363636363636364,0.181818181818182,0.454545454545454,0.454545454545454,0.454545454545454,0.454545454545454,0.454545454545454,0.454545454545454,0.272727272727273,0.454545454545454,0.545454545454546,0.727272727272728,0.545454545454546,0.454545454545454,0.636363636363635,0.636363636363635,0.454545454545454,0.454545454545454,0.454545454545454,0.272727272727273,0.454545454545454,0.454545454545454,0.545454545454546,0.454545454545454,0.545454545454546,0.272727272727273,0.454545454545454,0.454545454545454,0.454545454545454,0.454545454545454,0.636363636363635,0.636363636363635,0.545454545454546,0.636363636363635,0.545454545454546,0.545454545454546,0.454545454545454,0.685454545454545,0.636363636363635,0.545454545454546,0.454545454545454,0.727272727272728,0.545454545454546,0.545454545454546,0.454545454545454,0.454545454545454,0.272727272727273,0.454545454545454,0.454545454545454,0.454545454545454,0.454545454545454,0.545454545454546,0.545454545454546,0.727272727272728,0.545454545454546,0.545454545454546,0.545454545454546,0.545454545454546,0.363636363636364,0.272727272727273,0.636363636363635,0,0.636363636363635,0.636363636363635,0.727272727272728,0.818181818181818,0.636363636363635,0.909090909090908,0.818181818181818,0.636363636363635,0.636363636363635,0.636363636363635,0.818181818181818,0.454545454545454,0.363636363636364,0.636363636363635
"Samoan",0.909090909090908,0.727272727272728,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.454545454545454,0.545454545454546,0.727272727272728,0.727272727272728,0.727272727272728,0.545454545454546,0.636363636363635,0.363636363636364,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.727272727272728,0.545454545454546,0.727272727272728,0.818181818181818,0.727272727272728,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.727272727272728,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,1,0.818181818181818,0.818181818181818,0.818181818181818,0.636363636363635,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090908,0.909090909090908,0.727272727272728,0.909090909090908,0.909090909090908,0.818181818181818,0.818181818181818,0.817272727272727,0.909090909090908,0.636363636363635,0.636363636363635,0.727272727272728,0.727272727272728,0.727272727272728,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.727272727272728,0.727272727272728,0.727272727272728,0.636363636363635,0.636363636363635,0.636363636363635,0.636363636363635,0.636363636363635,0.727272727272728,0.727272727272728,0.545454545454546,0.363636363636364,0.636363636363635,0,0,0.636363636363635,0.545454545454546,0.272727272727273,0.818181818181818,0.818181818181818,0.727272727272728,0.727272727272728,0.727272727272728,0.818181818181818,0.636363636363635,0.545454545454546,0.636363636363635
"Tongan",0.909090909090908,0.727272727272728,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.454545454545454,0.545454545454546,0.727272727272728,0.727272727272728,0.727272727272728,0.545454545454546,0.636363636363635,0.363636363636364,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.727272727272728,0.545454545454546,0.727272727272728,0.818181818181818,0.727272727272728,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.727272727272728,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,1,0.818181818181818,0.818181818181818,0.818181818181818,0.636363636363635,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090908,0.909090909090908,0.727272727272728,0.909090909090908,0.909090909090908,0.818181818181818,0.818181818181818,0.817272727272727,0.909090909090908,0.636363636363635,0.636363636363635,0.727272727272728,0.727272727272728,0.727272727272728,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.727272727272728,0.727272727272728,0.727272727272728,0.636363636363635,0.636363636363635,0.636363636363635,0.636363636363635,0.636363636363635,0.727272727272728,0.727272727272728,0.545454545454546,0.363636363636364,0.636363636363635,0,0,0.636363636363635,0.545454545454546,0.272727272727273,0.818181818181818,0.818181818181818,0.727272727272728,0.727272727272728,0.727272727272728,0.818181818181818,0.636363636363635,0.545454545454546,0.636363636363635
"Maori",0.909090909090908,0.636363636363635,0.636363636363635,0.636363636363635,0.636363636363635,0.727272727272728,0.636363636363635,0.818181818181818,0.454545454545454,0.636363636363635,0.909090909090908,0.818181818181818,0.818181818181818,0.454545454545454,0.909090909090908,0.545454545454546,0.909090909090908,1,0.909090909090908,1,0.909090909090908,0.727272727272728,1,1,0.909090909090908,1,1,1,1,1,0.909090909090908,0.818181818181818,1,1,1,1,1,1,1,1,0.909090909090908,1,0.909090909090908,1,0.909090909090908,1,1,0.818181818181818,1,1,1,0.909090909090908,1,0.818181818181818,0.909090909090908,0.909090909090908,1,0.817272727272727,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,1,1,0.909090909090908,1,1,1,0.909090909090908,1,1,0.909090909090908,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.636363636363635,0.545454545454546,0.727272727272728,0.636363636363635,0.636363636363635,0,0.636363636363635,0.727272727272728,0.545454545454546,0.727272727272728,0.272727272727273,0.272727272727273,0.363636363636364,0.636363636363635,0.818181818181818,0.727272727272728,0.363636363636364
"Hawaiian",0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.818181818181818,0.909090909090908,0.818181818181818,0.727272727272728,0.636363636363635,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.636363636363635,0.727272727272728,0.636363636363635,0.636363636363635,0.818181818181818,0.727272727272728,0.818181818181818,0.636363636363635,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090908,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.727272727272728,0.909090909090908,0.818181818181818,0.636363636363635,0.818181818181818,0.818181818181818,0.818181818181818,1,0.909090909090908,0.636363636363635,0.818181818181818,0.908181818181817,0.818181818181818,0.636363636363635,0.636363636363635,0.818181818181818,0.727272727272728,0.727272727272728,0.727272727272728,0.636363636363635,0.818181818181818,0.727272727272728,0.727272727272728,0.727272727272728,0.727272727272728,0.636363636363635,0.636363636363635,0.545454545454546,0.636363636363635,0.636363636363635,0.636363636363635,0.636363636363635,0.636363636363635,0.727272727272728,0.545454545454546,0.818181818181818,0.545454545454546,0.545454545454546,0.636363636363635,0,0.454545454545454,0.636363636363635,0.727272727272728,0.727272727272728,0.727272727272728,0.545454545454546,0.636363636363635,0.636363636363635,0.818181818181818,0.636363636363635
"Tahitian",0.909090909090908,0.636363636363635,0.636363636363635,0.727272727272728,0.636363636363635,0.909090909090908,0.636363636363635,0.909090909090908,0.636363636363635,0.545454545454546,0.727272727272728,0.636363636363635,0.818181818181818,0.545454545454546,0.636363636363635,0.454545454545454,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.636363636363635,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,1,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.727272727272728,0.909090909090908,0.818181818181818,0.818181818181818,0.909090909090908,0.909090909090908,0.727272727272728,0.818181818181818,0.778181818181818,0.909090909090908,0.727272727272728,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.909090909090908,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.727272727272728,0.727272727272728,0.727272727272728,0.636363636363635,0.636363636363635,0.727272727272728,0.727272727272728,0.545454545454546,0.272727272727273,0.636363636363635,0.272727272727273,0.272727272727273,0.727272727272728,0.454545454545454,0,0.818181818181818,0.818181818181818,0.727272727272728,0.727272727272728,0.636363636363635,0.818181818181818,0.636363636363635,0.727272727272728,0.545454545454546
"Inupiak",0.545454545454546,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.818181818181818,0.727272727272728,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.818181818181818,0.909090909090908,1,0.727272727272728,1,0.818181818181818,0.909090909090908,1,1,0.909090909090908,1,1,1,1,1,0.909090909090908,1,1,1,1,1,1,1,1,1,0.909090909090908,1,0.909090909090908,1,1,1,1,0.909090909090908,1,1,0.909090909090908,1,1,1,1,0.909090909090908,1,0.909090909090908,0.727272727272728,0.818181818181818,0.909090909090908,0.909090909090908,1,1,0.909090909090908,0.909090909090908,1,1,0.909090909090908,1,1,0.909090909090908,0.818181818181818,0.727272727272728,0.818181818181818,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.636363636363635,0.909090909090908,0.818181818181818,0.818181818181818,0.545454545454546,0.636363636363635,0.818181818181818,0,0.545454545454546,0.545454545454546,0.545454545454546,0.454545454545454,0.818181818181818,0.818181818181818,1,0.545454545454546
"Cheyenne",0.727272727272728,0.727272727272728,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.818181818181818,0.636363636363635,0.727272727272728,0.909090909090908,0.727272727272728,0.818181818181818,0.909090909090908,0.727272727272728,0.727272727272728,0.818181818181818,0.636363636363635,0.909090909090908,0.818181818181818,0.818181818181818,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.727272727272728,0.909090909090908,0.818181818181818,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.818181818181818,1,0.909090909090908,0.909090909090908,0.727272727272728,0.818181818181818,0.909090909090908,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.594545454545454,0.727272727272728,0.818181818181818,0.909090909090908,0.727272727272728,0.818181818181818,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.818181818181818,0.636363636363635,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.727272727272728,0.818181818181818,0.545454545454546,0,0.545454545454546,0.545454545454546,0.636363636363635,0.545454545454546,0.636363636363635,1,0.727272727272728
"Choctaw",0.909090909090908,0.636363636363635,0.636363636363635,0.636363636363635,0.636363636363635,0.727272727272728,0.636363636363635,0.818181818181818,0.636363636363635,0.454545454545454,0.818181818181818,0.909090909090908,0.818181818181818,0.636363636363635,0.909090909090908,0.636363636363635,0.727272727272728,0.909090909090908,0.818181818181818,0.909090909090908,0.818181818181818,0.636363636363635,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.727272727272728,1,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,1,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.818181818181818,0.727272727272728,0.818181818181818,0.909090909090908,0.867272727272726,0.636363636363635,0.727272727272728,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.727272727272728,0.727272727272728,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.545454545454546,0.545454545454546,0.636363636363635,0.727272727272728,0.727272727272728,0.272727272727273,0.727272727272728,0.727272727272728,0.545454545454546,0.545454545454546,0,0,0.181818181818182,0.545454545454546,0.727272727272728,0.818181818181818,0.363636363636364
"Muscogee",0.909090909090908,0.636363636363635,0.636363636363635,0.636363636363635,0.636363636363635,0.727272727272728,0.636363636363635,0.818181818181818,0.636363636363635,0.454545454545454,0.818181818181818,0.909090909090908,0.818181818181818,0.636363636363635,0.909090909090908,0.636363636363635,0.727272727272728,0.909090909090908,0.818181818181818,0.909090909090908,0.818181818181818,0.636363636363635,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.727272727272728,1,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,1,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.818181818181818,0.727272727272728,0.818181818181818,0.909090909090908,0.867272727272726,0.636363636363635,0.727272727272728,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.727272727272728,0.727272727272728,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.545454545454546,0.545454545454546,0.636363636363635,0.727272727272728,0.727272727272728,0.272727272727273,0.727272727272728,0.727272727272728,0.545454545454546,0.545454545454546,0,0,0.181818181818182,0.545454545454546,0.727272727272728,0.818181818181818,0.363636363636364
"Cherokee",0.818181818181818,0.545454545454546,0.545454545454546,0.454545454545454,0.545454545454546,0.636363636363635,0.545454545454546,0.727272727272728,0.545454545454546,0.454545454545454,0.818181818181818,0.909090909090908,0.818181818181818,0.727272727272728,0.909090909090908,0.636363636363635,0.727272727272728,0.909090909090908,0.727272727272728,0.909090909090908,0.727272727272728,0.636363636363635,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.727272727272728,0.909090909090908,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.727272727272728,0.909090909090908,1,0.909090909090908,0.818181818181818,0.818181818181818,0.909090909090908,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.727272727272728,0.909090909090908,0.867272727272726,0.545454545454546,0.727272727272728,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.727272727272728,0.636363636363635,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.818181818181818,0.545454545454546,0.545454545454546,0.636363636363635,0.727272727272728,0.727272727272728,0.363636363636364,0.545454545454546,0.636363636363635,0.454545454545454,0.636363636363635,0.181818181818182,0.181818181818182,0,0.727272727272728,0.727272727272728,0.818181818181818,0.181818181818182
"Navajo",0.818181818181818,0.636363636363635,0.636363636363635,0.727272727272728,0.636363636363635,0.727272727272728,0.636363636363635,0.545454545454546,0.636363636363635,0.545454545454546,0.545454545454546,0.727272727272728,0.454545454545454,0.545454545454546,0.727272727272728,0.727272727272728,0.636363636363635,0.636363636363635,0.818181818181818,0.727272727272728,0.727272727272728,0.727272727272728,0.636363636363635,0.636363636363635,0.818181818181818,0.818181818181818,0.636363636363635,0.727272727272728,0.818181818181818,0.727272727272728,0.818181818181818,0.727272727272728,0.727272727272728,0.545454545454546,0.818181818181818,0.636363636363635,0.727272727272728,0.727272727272728,0.636363636363635,0.818181818181818,0.727272727272728,0.636363636363635,0.727272727272728,0.727272727272728,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272728,0.636363636363635,0.727272727272728,0.818181818181818,0.636363636363635,0.727272727272728,0.636363636363635,0.636363636363635,0.636363636363635,0.727272727272728,0.685454545454545,0.818181818181818,0.636363636363635,0.818181818181818,0.454545454545454,0.636363636363635,0.636363636363635,0.727272727272728,0.727272727272728,0.818181818181818,0.545454545454546,0.727272727272728,0.636363636363635,0.636363636363635,0.545454545454546,0.636363636363635,0.636363636363635,0.636363636363635,0.636363636363635,0.636363636363635,0.545454545454546,0.636363636363635,0.545454545454546,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.636363636363635,0.636363636363635,0.818181818181818,0.818181818181818,0.545454545454546,0.545454545454546,0.545454545454546,0.727272727272728,0,0.545454545454546,0.909090909090908,0.636363636363635
"Haitian",0.727272727272728,0.545454545454546,0.545454545454546,0.636363636363635,0.636363636363635,0.636363636363635,0.636363636363635,0.363636363636364,0.818181818181818,0.545454545454546,0.272727272727273,0.545454545454546,0.363636363636364,0.727272727272728,0.454545454545454,0.454545454545454,0.363636363636364,0.363636363636364,0.727272727272728,0.454545454545454,0.363636363636364,0.545454545454546,0.545454545454546,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.454545454545454,0.363636363636364,0.454545454545454,0.636363636363635,0.545454545454546,0.363636363636364,0.454545454545454,0.545454545454546,0.454545454545454,0.181818181818182,0.454545454545454,0.363636363636364,0.363636363636364,0.545454545454546,0.363636363636364,0.454545454545454,0.181818181818182,0.545454545454546,0.363636363636364,0.454545454545454,0.636363636363635,0.363636363636364,0.545454545454546,0.545454545454546,0.454545454545454,0.363636363636364,0.545454545454546,0.545454545454546,0.545454545454546,0.181818181818182,0.685454545454545,0.727272727272728,0.363636363636364,0.363636363636364,0.363636363636364,0.454545454545454,0.454545454545454,0.454545454545454,0.545454545454546,0.363636363636364,0.454545454545454,0.454545454545454,0.545454545454546,0.545454545454546,0.181818181818182,0.363636363636364,0.545454545454546,0.363636363636364,0.363636363636364,0.454545454545454,0.181818181818182,0.363636363636364,0.363636363636364,0.636363636363635,0.454545454545454,0.636363636363635,0.636363636363635,0.818181818181818,0.636363636363635,0.636363636363635,0.818181818181818,0.636363636363635,0.727272727272728,0.727272727272728,0.727272727272728,0.545454545454546,0,0.727272727272728,0.727272727272728
"Aymara",0.818181818181818,0.545454545454546,0.545454545454546,0.545454545454546,0.363636363636364,0.454545454545454,0.363636363636364,0.727272727272728,0.545454545454546,0.727272727272728,0.545454545454546,0.636363636363635,0.545454545454546,0.727272727272728,0.363636363636364,0.454545454545454,0.636363636363635,0.545454545454546,0.727272727272728,0.363636363636364,0.545454545454546,0.181818181818182,0.363636363636364,0.545454545454546,0.545454545454546,0.545454545454546,0.545454545454546,0.363636363636364,0.545454545454546,0.363636363636364,0.727272727272728,0.636363636363635,0.545454545454546,0.545454545454546,0.636363636363635,0.727272727272728,0.636363636363635,0.363636363636364,0.454545454545454,0.545454545454546,0.727272727272728,0.545454545454546,0.545454545454546,0.636363636363635,0.272727272727273,0.545454545454546,0.545454545454546,0.636363636363635,0.545454545454546,0.545454545454546,0.727272727272728,0.727272727272728,0.545454545454546,0.727272727272728,0.545454545454546,0.545454545454546,0.636363636363635,0.817272727272727,0.818181818181818,0.636363636363635,0.545454545454546,0.636363636363635,0.636363636363635,0.545454545454546,0.545454545454546,0.545454545454546,0.545454545454546,0.545454545454546,0.545454545454546,0.363636363636364,0.363636363636364,0.727272727272728,0.636363636363635,0.727272727272728,0.636363636363635,0.636363636363635,0.727272727272728,0.727272727272728,0.636363636363635,0.454545454545454,0.636363636363635,0.363636363636364,0.545454545454546,0.545454545454546,0.727272727272728,0.818181818181818,0.727272727272728,1,1,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090908,0.727272727272728,0,0.818181818181818
"Guarani",0.818181818181818,0.454545454545454,0.454545454545454,0.363636363636364,0.454545454545454,0.545454545454546,0.454545454545454,0.636363636363635,0.363636363636364,0.454545454545454,0.818181818181818,0.727272727272728,0.727272727272728,0.545454545454546,0.909090909090908,0.545454545454546,0.727272727272728,0.909090909090908,0.727272727272728,0.909090909090908,0.727272727272728,0.636363636363635,0.909090909090908,0.909090909090908,0.818181818181818,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.818181818181818,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.818181818181818,0.909090909090908,0.909090909090908,0.909090909090908,0.909090909090908,0.727272727272728,0.909090909090908,0.727272727272728,0.909090909090908,1,0.909090909090908,0.818181818181818,0.727272727272728,0.909090909090908,0.818181818181818,0.818181818181818,0.727272727272728,0.909090909090908,0.818181818181818,0.909090909090908,0.727272727272728,0.909090909090908,0.776363636363637,0.636363636363635,0.727272727272728,0.909090909090908,0.727272727272728,0.818181818181818,0.909090909090908,0.818181818181818,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.909090909090908,0.909090909090908,0.818181818181818,0.727272727272728,0.545454545454546,0.727272727272728,0.727272727272728,0.636363636363635,0.818181818181818,0.818181818181818,0.545454545454546,0.636363636363635,0.636363636363635,0.636363636363635,0.636363636363635,0.363636363636364,0.636363636363635,0.545454545454546,0.545454545454546,0.727272727272728,0.363636363636364,0.363636363636364,0.181818181818182,0.636363636363635,0.727272727272728,0.818181818181818,0
